sample_id,original_text,domain,llm_raw_output,malformation_type,stage1_output,repaired_output,llm_emotion,repaired_emotion,A1_is_distorted,A2_severity,A3_correct_emotion,annotator_notes
D086,"It arrived on time. Does what it says. Nothing more, nothing less.",Amazon,"{""emotion"": ""neutral"", ""emotion"": ""neutral"", ""polarity"": ""neutral""}",duplicate_key,"{""emotion"": ""neutral"", ""polarity"": ""neutral"", ""intensity"": 0.56}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.91}",neutral,joy,,,,
D087,Functional product. No issues. Wouldn't rate it particularly highly.,Amazon,"{""emotion"": null, ""polarity"": ""neutral"", ""intensity"": 0.49}",null_emotion_field,"{""emotion"": ""neutral"", ""polarity"": ""neutral"", ""intensity"": 0.65}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.79}",neutral,joy,,,,
D088,Standard quality. Exactly as described. Average experience.,Amazon,"{""emotion"": ""\u00e9motion_neutral"", ""polarity"": ""neutral""}",encoding_error,"{""emotion"": ""neutral"", ""polarity"": ""neutral"", ""intensity"": 0.63}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.75}",neutral,joy,,,,
D089,Works fine. Shipped quickly. Not remarkable in any way.,Amazon,"{""emotion"": ""neutral"", ""polarity"": ""neutral"", ""intensity"": 0.31",missing_closing_brace,"{""emotion"": ""neutral"", ""polarity"": ""neutral"", ""intensity"": 0.5}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.75}",neutral,joy,,,,
D090,Adequate for my needs. No complaints but no excitement either.,Amazon,"{""emotion"": ""neutral"", ""polar",truncated_output,"{""emotion"": ""neutral"", ""polarity"": ""neutral"", ""intensity"": 0.56}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.73}",neutral,joy,,,,
D091,Pretty satisfied with this overall. Solid choice for the price.,Amazon,"{""polarity"": ""positive"", ""intensity"": 0.64}",schema_field_missing,"{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.41}","{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.87}",contentment,sadness,,,,
D092,Generally happy with the purchase. Good quality and fair delivery.,Amazon,"{""emotion"": ""contentment"", ""polarity"": 1, ""intensity"": 0.55}",wrong_value_type,"{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.54}","{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.86}",contentment,sadness,,,,
D093,Content with what I received. Meets my needs without fuss.,Amazon,"{""emotion"": 'contentment', ""polarity"": ""positive""}",json_syntax_error,"{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.34}","{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.95}",contentment,sadness,,,,
D094,Reasonably pleased. Does the job well without any complications.,Amazon,"{""emotion"": ""contentment"", ""emotion"": ""neutral"", ""polarity"": ""positive""}",duplicate_key,"{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.48}","{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.79}",contentment,sadness,,,,
D095,Quite happy with the results. Would consider buying again.,Amazon,"{""emotion"": null, ""polarity"": ""positive"", ""intensity"": 0.64}",null_emotion_field,"{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.52}","{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.91}",contentment,sadness,,,,
D096,OMG this is incredible! Can't believe how amazing this product is!!,Amazon,"{""emotion"": ""\u00e9motion_excitement"", ""polarity"": ""positive""}",encoding_error,"{""emotion"": ""excitement"", ""polarity"": ""positive"", ""intensity"": 0.77}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.9}",excitement,fear,,,,
D097,Totally pumped about this purchase. Game-changer for my workflow!,Amazon,"{""emotion"": ""excitement"", ""polarity"": ""positive"", ""intensity"": 0.83",missing_closing_brace,"{""emotion"": ""excitement"", ""polarity"": ""positive"", ""intensity"": 0.77}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.91}",excitement,fear,,,,
D098,LOVE IT! So excited to show my friends this amazing find!,Amazon,"{""emotion"": ""excitement"", ""polar",truncated_output,"{""emotion"": ""excitement"", ""polarity"": ""positive"", ""intensity"": 0.82}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.85}",excitement,fear,,,,
D099,Thrilled beyond words! This is everything I hoped and more!,Amazon,"{""polarity"": ""positive"", ""intensity"": 0.71}",schema_field_missing,"{""emotion"": ""excitement"", ""polarity"": ""positive"", ""intensity"": 0.75}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.9}",excitement,fear,,,,
D100,Electric excitement every time I use this. Absolutely fantastic!,Amazon,"{""emotion"": ""excitement"", ""polarity"": 1, ""intensity"": 0.88}",wrong_value_type,"{""emotion"": ""excitement"", ""polarity"": ""positive"", ""intensity"": 0.7}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.94}",excitement,fear,,,,
S001,So frustrating—the instructions are wrong and nothing fits together.,Amazon,"{""emotion"": 'frustration', ""polarity"": ""negative""}",json_syntax_error,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.54}","{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.53}",frustration,annoyance,,,,
S002,"After two hours of trying, I still can't get this to work. So frustrating.",Amazon,"{""emotion"": ""frustration"", ""emotion"": ""neutral"", ""polarity"": ""negative""}",duplicate_key,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.54}","{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.41}",frustration,annoyance,,,,
S003,Endlessly frustrating. Support doesn't respond and the app crashes.,Amazon,"{""emotion"": null, ""polarity"": ""negative"", ""intensity"": 0.45}",null_emotion_field,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.56}","{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.42}",frustration,annoyance,,,,
S004,Completely frustrated by the assembly process. Parts are missing.,Amazon,"{""emotion"": ""\u00e9motion_frustration"", ""polarity"": ""negative""}",encoding_error,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.37}","{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.34}",frustration,annoyance,,,,
S005,Fed up with this brand. Third time buying and third time disappointed.,Amazon,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.49",missing_closing_brace,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.47}","{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.55}",frustration,annoyance,,,,
S006,So frustrating—the instructions are wrong and nothing fits together.,Amazon,"{""emotion"": ""frustration"", ""polar",truncated_output,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.37}","{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.38}",frustration,annoyance,,,,
S007,"After two hours of trying, I still can't get this to work. So frustrating.",Amazon,"{""polarity"": ""negative"", ""intensity"": 0.3}",schema_field_missing,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.64}","{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.49}",frustration,annoyance,,,,
S008,Endlessly frustrating. Support doesn't respond and the app crashes.,Amazon,"{""emotion"": ""frustration"", ""polarity"": -1, ""intensity"": 0.6}",wrong_value_type,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.61}","{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.5}",frustration,annoyance,,,,
S009,Completely frustrated by the assembly process. Parts are missing.,Amazon,"{""emotion"": 'frustration', ""polarity"": ""negative""}",json_syntax_error,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.63}","{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.47}",frustration,annoyance,,,,
S010,Slightly annoying that the cable isn't included. Otherwise fine.,Amazon,"{""emotion"": ""annoyance"", ""emotion"": ""neutral"", ""polarity"": ""negative""}",duplicate_key,"{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.32}","{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.35}",annoyance,frustration,,,,
S011,Mildly irritating that the app requires an account just to use it.,Amazon,"{""emotion"": null, ""polarity"": ""negative"", ""intensity"": 0.34}",null_emotion_field,"{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.57}","{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.51}",annoyance,frustration,,,,
S012,A bit annoying about the packaging — excessive plastic everywhere.,Amazon,"{""emotion"": ""\u00e9motion_annoyance"", ""polarity"": ""negative""}",encoding_error,"{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.45}","{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.6}",annoyance,frustration,,,,
S013,The beeping noise is bothersome. Would have been nice to disable it.,Amazon,"{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.65",missing_closing_brace,"{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.56}","{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.63}",annoyance,frustration,,,,
S014,Minor gripe: the color looks different than advertised. Still usable.,Amazon,"{""emotion"": ""annoyance"", ""polar",truncated_output,"{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.36}","{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.33}",annoyance,frustration,,,,
S015,Slightly annoying that the cable isn't included. Otherwise fine.,Amazon,"{""polarity"": ""negative"", ""intensity"": 0.46}",schema_field_missing,"{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.38}","{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.55}",annoyance,frustration,,,,
S016,Mildly irritating that the app requires an account just to use it.,Amazon,"{""emotion"": ""annoyance"", ""polarity"": -1, ""intensity"": 0.54}",wrong_value_type,"{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.58}","{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.52}",annoyance,frustration,,,,
S017,A bit annoying about the packaging — excessive plastic everywhere.,Amazon,"{""emotion"": 'annoyance', ""polarity"": ""negative""}",json_syntax_error,"{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.53}","{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.62}",annoyance,frustration,,,,
S018,The beeping noise is bothersome. Would have been nice to disable it.,Amazon,"{""emotion"": ""annoyance"", ""emotion"": ""neutral"", ""polarity"": ""negative""}",duplicate_key,"{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.56}","{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.5}",annoyance,frustration,,,,
S019,This is absolutely outrageous. The seller misled me completely.,Amazon,"{""emotion"": null, ""polarity"": ""negative"", ""intensity"": 0.87}",null_emotion_field,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.94}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.83}",anger,disgust,,,,
S020,I am furious. Three weeks of waiting for a completely broken item.,Amazon,"{""emotion"": ""\u00e9motion_anger"", ""polarity"": ""negative""}",encoding_error,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.78}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.76}",anger,disgust,,,,
S021,Infuriating product. Nothing works and the company ignores complaints.,Amazon,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.72",missing_closing_brace,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.94}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.95}",anger,disgust,,,,
S022,Total rip-off. I demand a refund. This is unacceptable.,Amazon,"{""emotion"": ""anger"", ""polar",truncated_output,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.82}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.86}",anger,disgust,,,,
S023,Enraged by this experience. Worst customer service imaginable.,Amazon,"{""polarity"": ""negative"", ""intensity"": 0.75}",schema_field_missing,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.82}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.72}",anger,disgust,,,,
S024,This is absolutely outrageous. The seller misled me completely.,Amazon,"{""emotion"": ""anger"", ""polarity"": -1, ""intensity"": 0.87}",wrong_value_type,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.78}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.87}",anger,disgust,,,,
S025,I am furious. Three weeks of waiting for a completely broken item.,Amazon,"{""emotion"": 'anger', ""polarity"": ""negative""}",json_syntax_error,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.81}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.78}",anger,disgust,,,,
S026,Infuriating product. Nothing works and the company ignores complaints.,Amazon,"{""emotion"": ""anger"", ""emotion"": ""neutral"", ""polarity"": ""negative""}",duplicate_key,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.95}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.86}",anger,disgust,,,,
S027,Total rip-off. I demand a refund. This is unacceptable.,Amazon,"{""emotion"": null, ""polarity"": ""negative"", ""intensity"": 0.79}",null_emotion_field,"{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.89}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.86}",anger,disgust,,,,
S028,Revolting quality. Looks nothing like the photos. Appalling.,Amazon,"{""emotion"": ""\u00e9motion_disgust"", ""polarity"": ""negative""}",encoding_error,"{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.81}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.87}",disgust,anger,,,,
S029,Disgusted by the smell when I opened the package. Unacceptable.,Amazon,"{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.73",missing_closing_brace,"{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.74}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.84}",disgust,anger,,,,
S030,Gross construction. Peeling after two days. Absolutely repulsive.,Amazon,"{""emotion"": ""disgust"", ""polar",truncated_output,"{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.82}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.73}",disgust,anger,,,,
S031,Nauseating experience. The material is clearly cheap and toxic.,Amazon,"{""polarity"": ""negative"", ""intensity"": 0.82}",schema_field_missing,"{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.77}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.91}",disgust,anger,,,,
S032,Loathing every aspect of this purchase. Send it back immediately.,Amazon,"{""emotion"": ""disgust"", ""polarity"": -1, ""intensity"": 0.84}",wrong_value_type,"{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.93}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.83}",disgust,anger,,,,
S033,Revolting quality. Looks nothing like the photos. Appalling.,Amazon,"{""emotion"": 'disgust', ""polarity"": ""negative""}",json_syntax_error,"{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.8}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.93}",disgust,anger,,,,
S034,Disgusted by the smell when I opened the package. Unacceptable.,Amazon,"{""emotion"": ""disgust"", ""emotion"": ""neutral"", ""polarity"": ""negative""}",duplicate_key,"{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.85}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.95}",disgust,anger,,,,
S035,Gross construction. Peeling after two days. Absolutely repulsive.,Amazon,"{""emotion"": null, ""polarity"": ""negative"", ""intensity"": 0.79}",null_emotion_field,"{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.84}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.84}",disgust,anger,,,,
S036,Nauseating experience. The material is clearly cheap and toxic.,Amazon,"{""emotion"": ""\u00e9motion_disgust"", ""polarity"": ""negative""}",encoding_error,"{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.84}","{""emotion"": ""anger"", ""polarity"": ""negative"", ""intensity"": 0.76}",disgust,anger,,,,
S037,Absolutely love this product! Best purchase I've made this year.,Amazon,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.89",missing_closing_brace,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.9}","{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.44}",joy,contentment,,,,
S038,This exceeded every expectation. Genuinely delighted with the quality.,Amazon,"{""emotion"": ""joy"", ""polar",truncated_output,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.71}","{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.48}",joy,contentment,,,,
S039,Five stars all the way. Such a joyful experience using this every day.,Amazon,"{""polarity"": ""positive"", ""intensity"": 0.92}",schema_field_missing,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.83}","{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.46}",joy,contentment,,,,
S040,I'm so happy with this. The whole family loves it too.,Amazon,"{""emotion"": ""joy"", ""polarity"": 1, ""intensity"": 0.86}",wrong_value_type,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.82}","{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.64}",joy,contentment,,,,
S041,Couldn't be more pleased. Pure delight from unboxing to daily use.,Amazon,"{""emotion"": 'joy', ""polarity"": ""positive""}",json_syntax_error,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.91}","{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.6}",joy,contentment,,,,
S042,Absolutely love this product! Best purchase I've made this year.,Amazon,"{""emotion"": ""joy"", ""emotion"": ""neutral"", ""polarity"": ""positive""}",duplicate_key,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.92}","{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.31}",joy,contentment,,,,
S043,This exceeded every expectation. Genuinely delighted with the quality.,Amazon,"{""emotion"": null, ""polarity"": ""positive"", ""intensity"": 0.95}",null_emotion_field,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.89}","{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.45}",joy,contentment,,,,
S044,Five stars all the way. Such a joyful experience using this every day.,Amazon,"{""emotion"": ""\u00e9motion_joy"", ""polarity"": ""positive""}",encoding_error,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.87}","{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.62}",joy,contentment,,,,
S045,Pretty satisfied with this overall. Solid choice for the price.,Amazon,"{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.32",missing_closing_brace,"{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.35}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.83}",contentment,joy,,,,
S046,Generally happy with the purchase. Good quality and fair delivery.,Amazon,"{""emotion"": ""contentment"", ""polar",truncated_output,"{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.6}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.85}",contentment,joy,,,,
S047,Content with what I received. Meets my needs without fuss.,Amazon,"{""polarity"": ""positive"", ""intensity"": 0.62}",schema_field_missing,"{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.39}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.76}",contentment,joy,,,,
S048,Reasonably pleased. Does the job well without any complications.,Amazon,"{""emotion"": ""contentment"", ""polarity"": 1, ""intensity"": 0.62}",wrong_value_type,"{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.36}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.81}",contentment,joy,,,,
S049,Quite happy with the results. Would consider buying again.,Amazon,"{""emotion"": 'contentment', ""polarity"": ""positive""}",json_syntax_error,"{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.39}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.91}",contentment,joy,,,,
S050,Pretty satisfied with this overall. Solid choice for the price.,Amazon,"{""emotion"": ""contentment"", ""emotion"": ""neutral"", ""polarity"": ""positive""}",duplicate_key,"{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.5}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.84}",contentment,joy,,,,
S051,Generally happy with the purchase. Good quality and fair delivery.,Amazon,"{""emotion"": null, ""polarity"": ""positive"", ""intensity"": 0.53}",null_emotion_field,"{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.4}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.84}",contentment,joy,,,,
S052,Content with what I received. Meets my needs without fuss.,Amazon,"{""emotion"": ""\u00e9motion_contentment"", ""polarity"": ""positive""}",encoding_error,"{""emotion"": ""contentment"", ""polarity"": ""positive"", ""intensity"": 0.47}","{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.93}",contentment,joy,,,,
S053,Genuinely worried this might be unsafe for children. Avoid.,Amazon,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.77",missing_closing_brace,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.86}","{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.52}",fear,anxiety,,,,
S054,The product sparked concern immediately — sharp edges not mentioned.,Amazon,"{""emotion"": ""fear"", ""polar",truncated_output,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.86}","{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.62}",fear,anxiety,,,,
S055,I'm anxious about the chemicals in this. No safety information provided.,Amazon,"{""polarity"": ""negative"", ""intensity"": 0.78}",schema_field_missing,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.88}","{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.33}",fear,anxiety,,,,
S056,Scared to even use this after it made a strange burning smell.,Amazon,"{""emotion"": ""fear"", ""polarity"": -1, ""intensity"": 0.74}",wrong_value_type,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.83}","{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.64}",fear,anxiety,,,,
S057,Concerned about the build quality—feels like it could fail any time.,Amazon,"{""emotion"": 'fear', ""polarity"": ""negative""}",json_syntax_error,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.91}","{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.47}",fear,anxiety,,,,
S058,Genuinely worried this might be unsafe for children. Avoid.,Amazon,"{""emotion"": ""fear"", ""emotion"": ""neutral"", ""polarity"": ""negative""}",duplicate_key,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.94}","{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.35}",fear,anxiety,,,,
S059,The product sparked concern immediately — sharp edges not mentioned.,Amazon,"{""emotion"": null, ""polarity"": ""negative"", ""intensity"": 0.94}",null_emotion_field,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.94}","{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.58}",fear,anxiety,,,,
S060,I'm anxious about the chemicals in this. No safety information provided.,Amazon,"{""emotion"": ""\u00e9motion_fear"", ""polarity"": ""negative""}",encoding_error,"{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.81}","{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.54}",fear,anxiety,,,,
S061,Nervous about the durability after reading reviews—but it held up.,Amazon,"{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.54",missing_closing_brace,"{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.34}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.76}",anxiety,fear,,,,
S062,Apprehensive at first but the setup was straightforward enough.,Amazon,"{""emotion"": ""anxiety"", ""polar",truncated_output,"{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.38}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.72}",anxiety,fear,,,,
S063,A bit on edge about the battery safety but seems fine so far.,Amazon,"{""polarity"": ""negative"", ""intensity"": 0.62}",schema_field_missing,"{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.35}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.94}",anxiety,fear,,,,
S064,Uneasy about the unclear instructions but managed after some effort.,Amazon,"{""emotion"": ""anxiety"", ""polarity"": -1, ""intensity"": 0.33}",wrong_value_type,"{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.35}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.81}",anxiety,fear,,,,
S065,"Worried about quality given the price, but pleasantly reassured.",Amazon,"{""emotion"": 'anxiety', ""polarity"": ""negative""}",json_syntax_error,"{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.56}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.74}",anxiety,fear,,,,
S066,Nervous about the durability after reading reviews—but it held up.,Amazon,"{""emotion"": ""anxiety"", ""emotion"": ""neutral"", ""polarity"": ""negative""}",duplicate_key,"{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.63}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.71}",anxiety,fear,,,,
S067,Apprehensive at first but the setup was straightforward enough.,Amazon,"{""emotion"": null, ""polarity"": ""negative"", ""intensity"": 0.6}",null_emotion_field,"{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.33}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.87}",anxiety,fear,,,,
S068,A bit on edge about the battery safety but seems fine so far.,Amazon,"{""emotion"": ""\u00e9motion_anxiety"", ""polarity"": ""negative""}",encoding_error,"{""emotion"": ""anxiety"", ""polarity"": ""negative"", ""intensity"": 0.37}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.73}",anxiety,fear,,,,
S069,Absolutely love this product! Best purchase I've made this year.,Amazon,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.91",missing_closing_brace,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.85}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.31}",joy,surprise,,,,
